TEAM_ABBREVIATION,GROUP_NAME,MIN,POSS,PLUS_MINUS,net_100,NET_RATING
MIL,B. Lopez - D. Lillard - K. Middleton - G. Antetokounmpo - M. Beasley,598.605,1302,199,15.284178187403993,15.1
DEN,K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,958.416667,1952,282,14.44672131147541,13.6
BOS,J. Holiday - K. Porzingis - J. Brown - J. Tatum - D. White,622.798333,1317,150,11.389521640091116,11
LAC,J. Harden - P. George - K. Leonard - I. Zubac - T. Mann,592.66,1170,120,10.256410256410257,10
PHX,K. Durant - B. Beal - J. Nurkic - D. Booker - G. Allen,502.88,1051,105,9.990485252140818,11.1
OKC,S. Gilgeous-Alexander - L. Dort - J. Giddey - C. Holmgren - J. Williams,799.261667,1718,165,9.60419091967404,10.2
MIN,M. Conley - R. Gobert - K. Towns - A. Edwards - J. McDaniels,640.803333,1300,111,8.538461538461538,7.9
SAC,H. Barnes - D. Sabonis - D. Fox - K. Huerter - K. Murray,668.94,1436,78,5.43175487465181,6.1
HOU,F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,754.045,1570,-1,-0.06369426751592357,0.4
WAS,T. Jones - K. Kuzma - D. Gafford - J. Poole - D. Avdija,576.658333,1249,-42,-3.362690152121697,-1.1
